2024-05-12 20:35:51,632 - Train Epoch: 1 [38400/176000 (22%)]	lr:0.00509	Accuracy: 0.2266	Loss: 1.976173
2024-05-12 20:35:52,041 - Train Epoch: 1 [39680/176000 (23%)]	lr:0.00501	Accuracy: 0.2031	Loss: 2.074327
2024-05-12 20:35:52,441 - Train Epoch: 1 [40960/176000 (23%)]	lr:0.00493	Accuracy: 0.1719	Loss: 2.017128
2024-05-12 20:35:52,849 - Train Epoch: 1 [42240/176000 (24%)]	lr:0.00486	Accuracy: 0.2031	Loss: 1.799827
2024-05-12 20:35:53,251 - Train Epoch: 1 [43520/176000 (25%)]	lr:0.00479	Accuracy: 0.2734	Loss: 1.935560
2024-05-12 20:35:53,664 - Train Epoch: 1 [44800/176000 (25%)]	lr:0.00472	Accuracy: 0.1250	Loss: 1.897756
2024-05-12 20:35:54,070 - Train Epoch: 1 [46080/176000 (26%)]	lr:0.00465	Accuracy: 0.2109	Loss: 2.014965
2024-05-12 20:35:54,460 - Train Epoch: 1 [47360/176000 (27%)]	lr:0.00459	Accuracy: 0.2500	Loss: 1.926412
2024-05-12 20:35:54,861 - Train Epoch: 1 [48640/176000 (28%)]	lr:0.00453	Accuracy: 0.1719	Loss: 2.091715
2024-05-12 20:35:55,259 - Train Epoch: 1 [49920/176000 (28%)]	lr:0.00447	Accuracy: 0.2422	Loss: 1.900417
2024-05-12 20:35:55,655 - Train Epoch: 1 [51200/176000 (29%)]	lr:0.00441	Accuracy: 0.1797	Loss: 1.803878
2024-05-12 20:35:56,062 - Train Epoch: 1 [52480/176000 (30%)]	lr:0.00436	Accuracy: 0.2266	Loss: 1.885567
2024-05-12 20:35:56,468 - Train Epoch: 1 [53760/176000 (31%)]	lr:0.00431	Accuracy: 0.1797	Loss: 2.016127
2024-05-12 20:35:56,883 - Train Epoch: 1 [55040/176000 (31%)]	lr:0.00426	Accuracy: 0.1172	Loss: 1.957787
2024-05-12 20:35:57,292 - Train Epoch: 1 [56320/176000 (32%)]	lr:0.00421	Accuracy: 0.2578	Loss: 1.759702
2024-05-12 20:35:57,700 - Train Epoch: 1 [57600/176000 (33%)]	lr:0.00416	Accuracy: 0.1406	Loss: 2.181539
2024-05-12 20:35:58,095 - Train Epoch: 1 [58880/176000 (33%)]	lr:0.00412	Accuracy: 0.2109	Loss: 1.821159
2024-05-12 20:35:58,488 - Train Epoch: 1 [60160/176000 (34%)]	lr:0.00407	Accuracy: 0.1953	Loss: 2.021160
2024-05-12 20:35:58,883 - Train Epoch: 1 [61440/176000 (35%)]	lr:0.00403	Accuracy: 0.2656	Loss: 1.616605
2024-05-12 20:35:59,278 - Train Epoch: 1 [62720/176000 (36%)]	lr:0.00399	Accuracy: 0.2734	Loss: 1.719882
2024-05-12 20:35:59,673 - Train Epoch: 1 [64000/176000 (36%)]	lr:0.00395	Accuracy: 0.2656	Loss: 1.716672
2024-05-12 20:36:00,067 - Train Epoch: 1 [65280/176000 (37%)]	lr:0.00391	Accuracy: 0.2969	Loss: 1.711401
2024-05-12 20:36:00,452 - Train Epoch: 1 [66560/176000 (38%)]	lr:0.00387	Accuracy: 0.2344	Loss: 1.761193
2024-05-12 20:36:00,853 - Train Epoch: 1 [67840/176000 (39%)]	lr:0.00384	Accuracy: 0.2812	Loss: 1.597974
2024-05-12 20:36:01,275 - Train Epoch: 1 [69120/176000 (39%)]	lr:0.00380	Accuracy: 0.2109	Loss: 1.895734
2024-05-12 20:36:01,682 - Train Epoch: 1 [70400/176000 (40%)]	lr:0.00377	Accuracy: 0.3125	Loss: 1.718229
2024-05-12 20:36:02,098 - Train Epoch: 1 [71680/176000 (41%)]	lr:0.00373	Accuracy: 0.2188	Loss: 1.530944
2024-05-12 20:36:02,506 - Train Epoch: 1 [72960/176000 (41%)]	lr:0.00370	Accuracy: 0.3438	Loss: 1.608808
2024-05-12 20:36:02,904 - Train Epoch: 1 [74240/176000 (42%)]	lr:0.00367	Accuracy: 0.2812	Loss: 1.764392
2024-05-12 20:36:03,300 - Train Epoch: 1 [75520/176000 (43%)]	lr:0.00364	Accuracy: 0.2188	Loss: 1.569604
2024-05-12 20:36:03,728 - Train Epoch: 1 [76800/176000 (44%)]	lr:0.00361	Accuracy: 0.2734	Loss: 1.718490
2024-05-12 20:36:04,117 - Train Epoch: 1 [78080/176000 (44%)]	lr:0.00358	Accuracy: 0.2891	Loss: 1.502620
2024-05-12 20:36:04,507 - Train Epoch: 1 [79360/176000 (45%)]	lr:0.00355	Accuracy: 0.2656	Loss: 1.863674
2024-05-12 20:36:04,887 - Train Epoch: 1 [80640/176000 (46%)]	lr:0.00352	Accuracy: 0.2734	Loss: 1.515519
2024-05-12 20:36:05,277 - Train Epoch: 1 [81920/176000 (47%)]	lr:0.00349	Accuracy: 0.2422	Loss: 1.513063
2024-05-12 20:36:05,666 - Train Epoch: 1 [83200/176000 (47%)]	lr:0.00346	Accuracy: 0.2891	Loss: 1.575769
2024-05-12 20:36:06,064 - Train Epoch: 1 [84480/176000 (48%)]	lr:0.00344	Accuracy: 0.2109	Loss: 1.463480
2024-05-12 20:36:06,454 - Train Epoch: 1 [85760/176000 (49%)]	lr:0.00341	Accuracy: 0.1797	Loss: 1.513803
2024-05-12 20:36:06,872 - Train Epoch: 1 [87040/176000 (49%)]	lr:0.00339	Accuracy: 0.3281	Loss: 1.528824
2024-05-12 20:36:07,284 - Train Epoch: 1 [88320/176000 (50%)]	lr:0.00336	Accuracy: 0.3047	Loss: 1.468578
2024-05-12 20:36:07,686 - Train Epoch: 1 [89600/176000 (51%)]	lr:0.00334	Accuracy: 0.2578	Loss: 1.401824
2024-05-12 20:36:08,096 - Train Epoch: 1 [90880/176000 (52%)]	lr:0.00331	Accuracy: 0.2812	Loss: 1.600701
2024-05-12 20:36:08,510 - Train Epoch: 1 [92160/176000 (52%)]	lr:0.00329	Accuracy: 0.3125	Loss: 1.463028
2024-05-12 20:36:08,924 - Train Epoch: 1 [93440/176000 (53%)]	lr:0.00327	Accuracy: 0.2109	Loss: 1.523525
2024-05-12 20:36:09,331 - Train Epoch: 1 [94720/176000 (54%)]	lr:0.00325	Accuracy: 0.2109	Loss: 1.975622
2024-05-12 20:36:09,748 - Train Epoch: 1 [96000/176000 (55%)]	lr:0.00323	Accuracy: 0.2812	Loss: 1.450168
2024-05-12 20:36:10,149 - Train Epoch: 1 [97280/176000 (55%)]	lr:0.00320	Accuracy: 0.3516	Loss: 1.501403
2024-05-12 20:36:10,561 - Train Epoch: 1 [98560/176000 (56%)]	lr:0.00318	Accuracy: 0.3594	Loss: 1.439727
2024-05-12 20:36:10,977 - Train Epoch: 1 [99840/176000 (57%)]	lr:0.00316	Accuracy: 0.3438	Loss: 1.354721
2024-05-12 20:36:11,373 - Train Epoch: 1 [101120/176000 (57%)]	lr:0.00314	Accuracy: 0.3047	Loss: 1.416512
2024-05-12 20:36:11,782 - Train Epoch: 1 [102400/176000 (58%)]	lr:0.00312	Accuracy: 0.1797	Loss: 1.677361
2024-05-12 20:36:12,207 - Train Epoch: 1 [103680/176000 (59%)]	lr:0.00310	Accuracy: 0.2109	Loss: 1.637982
2024-05-12 20:36:12,600 - Train Epoch: 1 [104960/176000 (60%)]	lr:0.00308	Accuracy: 0.2266	Loss: 1.739646
2024-05-12 20:36:12,990 - Train Epoch: 1 [106240/176000 (60%)]	lr:0.00307	Accuracy: 0.2891	Loss: 1.529724
2024-05-12 20:36:13,374 - Train Epoch: 1 [107520/176000 (61%)]	lr:0.00305	Accuracy: 0.1250	Loss: 1.480514
2024-05-12 20:36:13,755 - Train Epoch: 1 [108800/176000 (62%)]	lr:0.00303	Accuracy: 0.1250	Loss: 2.650856
2024-05-12 20:36:14,147 - Train Epoch: 1 [110080/176000 (63%)]	lr:0.00301	Accuracy: 0.3828	Loss: 1.471948
2024-05-12 20:36:14,535 - Train Epoch: 1 [111360/176000 (63%)]	lr:0.00299	Accuracy: 0.2969	Loss: 1.533803
2024-05-12 20:36:14,911 - Train Epoch: 1 [112640/176000 (64%)]	lr:0.00298	Accuracy: 0.3047	Loss: 1.543038
2024-05-12 20:36:15,297 - Train Epoch: 1 [113920/176000 (65%)]	lr:0.00296	Accuracy: 0.3672	Loss: 1.471177
2024-05-12 20:36:15,693 - Train Epoch: 1 [115200/176000 (65%)]	lr:0.00294	Accuracy: 0.3984	Loss: 1.380858
2024-05-12 20:36:16,075 - Train Epoch: 1 [116480/176000 (66%)]	lr:0.00293	Accuracy: 0.2578	Loss: 1.571061
2024-05-12 20:36:16,468 - Train Epoch: 1 [117760/176000 (67%)]	lr:0.00291	Accuracy: 0.2578	Loss: 1.484889
2024-05-12 20:36:16,856 - Train Epoch: 1 [119040/176000 (68%)]	lr:0.00290	Accuracy: 0.2578	Loss: 1.585694
2024-05-12 20:36:17,277 - Train Epoch: 1 [120320/176000 (68%)]	lr:0.00288	Accuracy: 0.2266	Loss: 1.563904
2024-05-12 20:36:17,670 - Train Epoch: 1 [121600/176000 (69%)]	lr:0.00287	Accuracy: 0.2812	Loss: 1.428876
